8479,1,1
592,1,1
2398,1,1
148,1,1
296,1,1
893,1,1
2230,1,1
148,1,1
9384,1,11
1324,1,1
294,1,1
4335,5,4
4540,3,3
10737,1,1
9442,2,12
296,1,1
588,1,1
592,1,1
6269,1,10
9402,1,11
588,1,1
1868,3,2
6551,1,1
9154,2,2
5332,1,7
9793,1,12
3134,2,2
5418,1,9
8543,1,1
2218,1,1
7924,2,12
7873,1,1
4058,2,2
7723,1,1
444,1,1
6193,1,1
888,1,1
10932,1,1
974,2,2
148,1,1
13487,1,1
9364,1,1
1676,2,2
588,1,1
296,1,1
8944,1,1
7377,1,1
8211,1,10
1316,1,1
12842,5,6
9669,2,2
296,1,1
2852,2,2
9865,2,10
588,1,1
148,1,1
12076,6,7
6750,5,5
7652,1,10
10245,1,1
588,1,1
12438,2,6
98,1,1
8882,1,1
10065,1,1
1372,1,1
7126,1,11
2047,1,3
7714,1,10
3668,1,2
1954,1,1
740,1,1
8397,3,4
2764,1,2
4649,1,6
2122,1,1
2838,4,3
792,1,2
10884,2,2
5387,1,1
7474,6,5
2162,4,3
11075,1,1
1482,1,1
888,1,1
588,1,1
5690,1,7
1812,2,2
2076,1,1
3676,3,3
8377,1,12
592,1,1
1680,1,1
148,1,1
9393,1,1
148,1,1
10755,1,1
148,1,1
740,1,1
1139,1,1
2140,1,1
592,1,1
148,1,1
1513,2,2
148,1,1
13900,1,17
296,1,1
1876,1,1
2096,2,2
148,1,1
6859,1,8
294,1,1
7911,1,11
6525,1,1
588,1,1
6061,1,8
148,1,1
888,1,1
15991,1,1
12485,1,13
1284,1,1
5400,1,1
4224,1,2
9456,1,12
1646,2,3
148,1,1
2048,1,1
6864,2,10
2678,1,1
2010,2,2
296,1,1
588,1,1
2316,1,1
784,2,1
9446,3,3
588,1,1
8712,1,11
8559,3,2
11269,1,1
11767,1,1
2688,2,2
7789,1,9
2211,1,2
806,1,1
6852,1,4
1892,1,1
1492,1,2
8674,1,4
148,1,1
11180,1,1
588,1,1
592,1,1
444,1,1
444,1,1
5192,1,3
7248,5,5
888,1,1
1534,1,1
98,1,1
148,1,1
888,1,1
9853,1,1
14084,1,1
7654,1,11
7843,1,1
148,1,1
9264,1,1
888,1,1
9007,1,1
1404,1,1
148,1,1
1122,1,1
148,1,1
2390,2,2
1530,1,1
8896,1,1
6244,2,3
148,1,1
1520,1,1
9476,1,13
8996,1,12
588,1,1
714,1,1
444,1,1
4275,3,4
10472,1,1
7050,5,4
888,1,1
9441,1,1
1238,1,1
15430,1,1
2480,1,1
10511,1,1
148,1,1
214,1,1
2722,1,1
2798,1,3
3294,2,2
8491,1,1
2350,1,1
1122,1,1
8750,1,9
148,1,1
9704,1,12
5979,1,8
592,1,1
11083,1,12
10381,2,14
7261,1,10
588,1,1
1738,2,2
12559,1,1
9604,6,4
9922,1,15
588,1,1
2286,1,1
7173,1,10
10072,6,4
7045,1,1
4941,1,9
1130,1,1
11419,3,3
4350,5,3
2568,1,1
148,1,1
214,1,1
12519,1,1
7215,1,8
2062,3,3
588,1,1
6048,1,1
2104,2,2
9317,1,1
1196,1,1
13462,1,16
8551,1,10
588,1,1
588,1,1
1612,1,1
588,1,1
10495,1,1
196,1,1
296,1,1
2634,1,1
588,1,1
1600,1,1
6963,1,1
11591,1,14
10920,1,13
9723,1,11
1252,1,1
588,1,1
4328,5,5
5680,2,3
4539,1,7
444,1,1
6538,1,4
12944,1,1
11076,1,1
6782,4,4
588,1,1
542,2,2
8674,1,9
3418,3,3
9857,1,1
1776,1,2
4628,1,3
148,1,1
8403,1,1
148,1,1
4254,3,3
214,1,1
9781,1,1
588,1,1
10826,6,4
4684,3,3
9823,1,13
10273,1,1
222,1,1
8210,1,9
7488,1,10
9158,1,11
3230,2,2
588,1,1
6362,1,1
444,1,1
6641,1,11
7994,1,1
11392,1,1
12482,1,1
8718,1,1
2096,2,2
1960,2,2
5256,2,2
3252,3,3
7724,1,8
740,1,1
296,1,1
859,1,1
4348,4,4
888,1,1
2356,1,1
6994,3,3
5554,1,9
1226,1,1
9456,1,1
294,1,1
1074,1,1
6661,1,1
1940,1,1
906,1,1
3542,2,2
1580,1,2
296,1,1
294,1,1
196,1,1
6442,5,4
7159,1,1
2084,1,1
588,1,1
2660,1,1
2044,2,2
2010,2,2
148,1,1
2688,1,1
10194,1,10
11006,1,12
588,1,1
222,1,1
592,1,1
11424,1,1
684,2,2
444,1,1
8896,1,13
4738,4,4
148,1,1
7344,1,9
1018,1,1
5378,1,8
5851,1,8
844,1,1
8451,1,1
4908,5,4
8199,1,1
1638,1,1
1146,1,1
98,1,1
7828,1,9
2278,1,1
3500,1,2
8130,1,11
1930,1,1
740,1,1
148,1,1
12380,1,1
3456,3,3
148,1,1
296,1,1
8920,1,11
13706,1,14
6211,1,8
8708,1,1
9466,1,1
3490,3,3
15428,1,1
296,1,1
4108,2,3
6967,1,9
10781,1,13
444,1,1
7195,1,1
1804,1,1
1514,1,2
10508,5,5
2210,1,1
3436,4,3
5806,1,9
2508,2,2
3315,3,3
4326,1,3
588,1,1
296,1,1
8583,1,1
2362,1,1
